Annee;Groupe_TP;Id_paquerette;Milieu;Code_site;Prop_veg_500;Date_ech;Date_dissection;Nb_inflo;Nb_feuilles;H_tige;D_capitule;D_disque;Antho_sup;Antho_inf;Nb_ligu;Nb_tubu;Abondance;Agregation
2021;stage;URB1_P01;Urbain;URB1;21.9;14/06/2021;NA;1;7;73;12;5;1;1;41;73;2;E
2021;stage;URB1_P02;Urbain;URB1;21.9;14/06/2021;NA;1;8;56;13;5;1;1;36;94;3;B
2021;stage;URB1_P03;Urbain;URB1;21.9;14/06/2021;NA;2;14;57;16;5;1;1;38;82;2;C
2021;stage;URB1_P04;Urbain;URB1;21.9;14/06/2021;NA;2;8;92;14;5;2;3;31;73;2;C
2021;stage;URB1_P05;Urbain;URB1;21.9;14/06/2021;NA;2;9;42;14;5;1;1;35;78;3;B
2021;stage;URB1_P06;Urbain;URB1;21.9;14/06/2021;NA;2;10;52;12;4;1;1;41;72;2;C
2021;stage;URB1_P07;Urbain;URB1;21.9;14/06/2021;NA;1;8;53;11;4;2;3;34;71;1;E
2021;stage;URB1_P08;Urbain;URB1;21.9;14/06/2021;NA;1;9;41;12;4;1;2;36;84;2;C
2021;stage;URB1_P09;Urbain;URB1;21.9;14/06/2021;NA;2;10;52;11;5;1;1;31;82;2;E
2021;stage;URB1_P10;Urbain;URB1;21.9;14/06/2021;NA;1;10;34;13;6;1;1;38;102;1;B
2021;stage;URB1_P11;Urbain;URB1;21.9;14/06/2021;NA;2;5;48;13;4;1;2;35;76;2;D
2021;stage;URB1_P12;Urbain;URB1;21.9;14/06/2021;NA;1;5;14;9;3;1;1;34;35;2;D
2021;stage;URB1_P13;Urbain;URB1;21.9;14/06/2021;NA;1;7;43;11;4;2;3;36;59;2;C
2021;stage;URB1_P14;Urbain;URB1;21.9;14/06/2021;NA;2;5;51;12;4;3;3;41;71;1;D
2021;stage;URB1_P15;Urbain;URB1;21.9;14/06/2021;NA;1;15;78;8;4;1;1;32;67;2;C
2021;stage;URB1_P16;Urbain;URB1;21.9;14/06/2021;NA;1;9;52;14;6;1;2;30;91;2;D
2021;stage;URB1_P17;Urbain;URB1;21.9;14/06/2021;NA;2;9;51;8;4;3;3;35;77;1;A
2021;stage;URB1_P18;Urbain;URB1;21.9;14/06/2021;NA;1;6;47;12;4;3;3;33;62;1;B
2021;stage;URB1_P19;Urbain;URB1;21.9;14/06/2021;NA;2;11;72;14;4;1;2;42;66;2;B
2021;stage;URB1_P20;Urbain;URB1;21.9;14/06/2021;NA;3;11;48;10;4;3;3;33;62;2;B
2021;stage;URB3_P01;Urbain;URB3;4.72;24/06/2021;NA;2;14;86;16;5;1;2;29;67;1;E
2021;stage;URB3_P02;Urbain;URB3;4.72;24/06/2021;NA;1;10;53;14;5;3;3;28;66;1;B
2021;stage;URB3_P03;Urbain;URB3;4.72;24/06/2021;NA;1;8;57;15;6;3;4;37;74;1;D
2021;stage;URB3_P04;Urbain;URB3;4.72;24/06/2021;NA;2;14;93;15;6;1;1;36;76;1;C
2021;stage;URB3_P05;Urbain;URB3;4.72;24/06/2021;NA;1;9;82;15;7;1;1;42;83;1;C
2021;stage;URB3_P06;Urbain;URB3;4.72;24/06/2021;NA;1;6;51;11;5;1;1;30;72;1;E
2021;stage;URB3_P07;Urbain;URB3;4.72;24/06/2021;NA;1;12;42;12;5;1;1;34;63;1;B
2021;stage;URB3_P08;Urbain;URB3;4.72;24/06/2021;NA;1;5;66;12;4;1;1;36;65;1;C
2021;stage;URB3_P09;Urbain;URB3;4.72;24/06/2021;NA;1;8;71;16;5;1;1;35;62;1;D
2021;stage;URB3_P10;Urbain;URB3;4.72;24/06/2021;NA;2;13;62;17;5;2;2;37;72;1;B
2021;stage;URB3_P11;Urbain;URB3;4.72;24/06/2021;NA;1;11;61;15;5;1;2;41;90;1;E
2021;stage;URB3_P12;Urbain;URB3;4.72;24/06/2021;NA;1;10;62;15;6;2;2;47;85;1;C
2021;stage;URB3_P13;Urbain;URB3;4.72;24/06/2021;NA;1;9;83;15;5;1;1;41;95;1;E
2021;stage;URB3_P14;Urbain;URB3;4.72;24/06/2021;NA;2;10;47;15;6;1;2;42;98;1;C
2021;stage;URB3_P15;Urbain;URB3;4.72;24/06/2021;NA;2;10;97;14;6;2;4;40;67;1;E
2021;stage;URB3_P16;Urbain;URB3;4.72;24/06/2021;NA;1;9;79;13;6;2;3;41;84;1;E
2021;stage;URB3_P17;Urbain;URB3;4.72;24/06/2021;NA;1;11;175;15;5;1;1;45;100;1;C
2021;stage;URB3_P18;Urbain;URB3;4.72;24/06/2021;NA;1;10;49;14;6;2;3;31;85;1;E
2021;stage;URB3_P19;Urbain;URB3;4.72;24/06/2021;NA;1;8;93;16;4;1;1;39;67;NA;NA
2021;stage;URB3_P20;Urbain;URB3;4.72;24/06/2021;NA;1;11;95;16;5;1;1;43;78;1;B
2021;stage;URB6_P01;Urbain;URB6;8.39;24/06/2021;NA;3;11;71;16;5;2;3;39;71;1;A
2021;stage;URB6_P02;Urbain;URB6;8.39;24/06/2021;NA;2;9;78;14;5;1;1;35;84;1;B
2021;stage;URB6_P03;Urbain;URB6;8.39;24/06/2021;NA;2;10;13;16;7;1;1;46;98;1;D
2021;stage;URB6_P04;Urbain;URB6;8.39;24/06/2021;NA;2;10;54;14;5;1;1;45;95;1;C
2021;stage;URB6_P05;Urbain;URB6;8.39;24/06/2021;NA;1;6;67;13;5;2;3;37;91;1;D
2021;stage;URB6_P06;Urbain;URB6;8.39;24/06/2021;NA;1;4;92;13;5;1;1;35;89;1;E
2021;stage;URB6_P07;Urbain;URB6;8.39;24/06/2021;NA;1;13;57;16;5;1;1;48;97;2;C
2021;stage;URB6_P08;Urbain;URB6;8.39;24/06/2021;NA;1;14;56;13;5;1;1;31;54;2;E
2021;stage;URB6_P09;Urbain;URB6;8.39;24/06/2021;NA;3;14;67;14;5;2;3;35;79;2;B
2021;stage;URB6_P10;Urbain;URB6;8.39;24/06/2021;NA;1;8;78;15;5;3;4;29;97;2;D
2021;stage;URB6_P11;Urbain;URB6;8.39;24/06/2021;NA;2;8;115;15;5;1;1;40;61;2;B
2021;stage;URB6_P12;Urbain;URB6;8.39;24/06/2021;NA;2;9;81;15;5;1;1;45;110;2;B
2021;stage;URB6_P13;Urbain;URB6;8.39;24/06/2021;NA;2;9;67;13;4;1;1;29;42;2;A
2021;stage;URB6_P14;Urbain;URB6;8.39;24/06/2021;NA;1;14;71;17;6;1;1;37;107;1;E
2021;stage;URB6_P15;Urbain;URB6;8.39;24/06/2021;NA;1;3;81;16;5;1;2;39;68;2;A
2021;stage;URB6_P16;Urbain;URB6;8.39;24/06/2021;NA;1;13;132;15;5;1;2;38;72;2;A
2021;stage;URB6_P17;Urbain;URB6;8.39;24/06/2021;NA;1;9;85;16;5;1;1;45;86;2;B
2021;stage;URB6_P18;Urbain;URB6;8.39;24/06/2021;NA;2;12;126;17;7;1;2;45;101;2;C
2021;stage;URB6_P19;Urbain;URB6;8.39;24/06/2021;NA;1;10;93;16;5;1;1;41;100;2;C
2021;stage;URB6_P20;Urbain;URB6;8.39;24/06/2021;NA;2;13;76;15;5;1;3;34;93;1;D
2021;stage;URB7_P01;Urbain;URB7;12.89;16/06/2021;NA;1;7;45;12;5;2;2;46;103;1;D
2021;stage;URB7_P02;Urbain;URB7;12.89;16/06/2021;NA;1;6;36;13;5;2;3;39;98;2;C
2021;stage;URB7_P03;Urbain;URB7;12.89;16/06/2021;NA;2;9;54;15;6;2;3;45;95;2;D
2021;stage;URB7_P04;Urbain;URB7;12.89;16/06/2021;NA;2;8;52;12;5;1;1;36;86;2;B
2021;stage;URB7_P05;Urbain;URB7;12.89;16/06/2021;NA;1;6;58;15;5;1;1;34;69;2;D
